,scr,label,row
86,1.0,0.0,1
109,0.9,0.0,2
318,0.9,0.0,3
74,0.8,0.0,4
203,0.8,0.0,5
198,0.7000000000000001,0.0,6
239,0.7000000000000001,0.0,7
160,0.6000000000000001,0.0,8
5,0.5,0.0,9
357,0.0,0.0,10
358,0.0,0.0,11
359,0.0,0.0,12
360,0.0,0.0,13
361,0.0,0.0,14
362,0.0,0.0,15
363,0.0,0.0,16
364,0.0,0.0,17
365,0.0,0.0,18
366,0.0,0.0,19
367,0.0,0.0,20
368,0.0,0.0,21
369,0.0,0.0,22
370,0.0,0.0,23
19,0.0,0.0,24
20,0.0,0.0,25
21,0.0,0.0,26
22,0.0,0.0,27
23,0.0,0.0,28
24,0.0,0.0,29
25,0.0,0.0,30
26,0.0,0.0,31
27,0.0,0.0,32
28,0.0,0.0,33
29,0.0,0.0,34
30,0.0,0.0,35
31,0.0,1.0,36
32,0.0,0.0,37
33,0.0,0.0,38
34,0.0,0.0,39
35,0.0,0.0,40
36,0.0,0.0,41
37,0.0,0.0,42
38,0.0,0.0,43
39,0.0,0.0,44
40,0.0,0.0,45
41,0.0,0.0,46
42,0.0,0.0,47
43,0.0,0.0,48
44,0.0,0.0,49
45,0.0,0.0,50
46,0.0,0.0,51
47,0.0,0.0,52
48,0.0,0.0,53
49,0.0,0.0,54
50,0.0,0.0,55
51,0.0,0.0,56
52,0.0,0.0,57
53,0.0,0.0,58
54,0.0,0.0,59
55,0.0,0.0,60
56,0.0,0.0,61
57,0.0,0.0,62
58,0.0,0.0,63
59,0.0,0.0,64
60,0.0,0.0,65
61,0.0,0.0,66
62,0.0,0.0,67
63,0.0,0.0,68
64,0.0,0.0,69
65,0.0,0.0,70
66,0.0,0.0,71
67,0.0,0.0,72
68,0.0,0.0,73
69,0.0,0.0,74
70,0.0,0.0,75
71,0.0,0.0,76
72,0.0,0.0,77
73,0.0,0.0,78
75,0.0,0.0,79
76,0.0,0.0,80
77,0.0,0.0,81
78,0.0,0.0,82
79,0.0,0.0,83
80,0.0,0.0,84
81,0.0,0.0,85
82,0.0,0.0,86
83,0.0,0.0,87
84,0.0,0.0,88
85,0.0,0.0,89
87,0.0,0.0,90
88,0.0,0.0,91
89,0.0,0.0,92
90,0.0,0.0,93
91,0.0,0.0,94
92,0.0,0.0,95
93,0.0,0.0,96
94,0.0,0.0,97
95,0.0,0.0,98
96,0.0,0.0,99
97,0.0,0.0,100
98,0.0,0.0,101
99,0.0,0.0,102
100,0.0,0.0,103
101,0.0,0.0,104
102,0.0,0.0,105
103,0.0,0.0,106
104,0.0,0.0,107
105,0.0,0.0,108
106,0.0,0.0,109
107,0.0,0.0,110
108,0.0,0.0,111
110,0.0,0.0,112
111,0.0,0.0,113
112,0.0,0.0,114
113,0.0,0.0,115
114,0.0,0.0,116
115,0.0,0.0,117
116,0.0,0.0,118
117,0.0,0.0,119
118,0.0,0.0,120
119,0.0,0.0,121
120,0.0,0.0,122
121,0.0,0.0,123
122,0.0,0.0,124
123,0.0,0.0,125
124,0.0,0.0,126
125,0.0,0.0,127
126,0.0,0.0,128
127,0.0,0.0,129
128,0.0,0.0,130
129,0.0,0.0,131
130,0.0,0.0,132
131,0.0,0.0,133
132,0.0,0.0,134
133,0.0,0.0,135
134,0.0,0.0,136
135,0.0,0.0,137
136,0.0,0.0,138
137,0.0,0.0,139
138,0.0,0.0,140
139,0.0,0.0,141
140,0.0,0.0,142
141,0.0,0.0,143
142,0.0,0.0,144
143,0.0,1.0,145
144,0.0,0.0,146
145,0.0,0.0,147
146,0.0,0.0,148
147,0.0,0.0,149
148,0.0,0.0,150
149,0.0,0.0,151
150,0.0,0.0,152
151,0.0,0.0,153
152,0.0,0.0,154
153,0.0,0.0,155
154,0.0,0.0,156
155,0.0,0.0,157
156,0.0,0.0,158
157,0.0,0.0,159
158,0.0,0.0,160
159,0.0,0.0,161
161,0.0,0.0,162
162,0.0,0.0,163
163,0.0,0.0,164
164,0.0,0.0,165
165,0.0,0.0,166
166,0.0,0.0,167
167,0.0,0.0,168
168,0.0,0.0,169
169,0.0,0.0,170
170,0.0,0.0,171
